Date,Preferred Income (FPE),High Yield (HYG),Convertibles (ICVT),Investment Grade (LQD),Preferred Stock (PFF)
2015-06-05,-0.0015669994915215035,-0.003009088898379808,0.0018207167664578972,-0.005063529449574555,-0.0032835012527249186
2015-06-08,0.0,0.0,-0.005048307905501592,-0.0006890774840973002,-0.0005062545332886748
2015-06-09,-0.001569885362454726,-0.0016773392408644394,-0.001622902036079843,-0.004488933502019177,-0.0022807155366987297
2015-06-10,-0.002096357783407554,0.001343797792139556,0.003821058241008979,-0.002687443511937282,-0.0007625051852356846
2015-06-11,0.0005247623350614905,0.0020130984982016376,-0.003401436367249433,0.008867747500566958,0.0010169480194999192
2015-06-12,0.0,-0.003683016955486451,0.0018286417403454713,-0.0017235804229501772,-0.0015244566691848815
2015-06-15,0.001575172805193814,-0.004706049592282935,0.0,-0.00017311481865600609,0.0015267841855188813
2015-06-16,-0.0005240894458519163,0.005628059376725503,0.0010141876764979685,0.0025040319313902604,0.0017777258365436754
2015-06-17,0.0,-0.0008947226124617069,0.0,-8.640197000153726e-05,-0.0022815438435563884
2015-06-18,-0.0010491559436569542,0.003696631712762688,0.0,-0.0018086420431845385,-0.002795895455759534
2015-06-19,-0.0031493187144426837,0.0005578454283265977,0.0028357650309673854,0.005349834055818237,0.0
2015-06-22,0.0031592682570886765,0.0020084313755863725,0.0,-0.007895577855492775,0.0012745617803997522
2015-06-23,0.0,-0.0006690335068489928,0.00787911620618753,-0.0022497452884108204,0.0007636966867776707
2015-06-24,0.0017422145456045257,-0.0026729581171747174,-0.005010409630410884,0.002774614313021173,0.0
2015-06-25,-0.0015807195947467045,-0.0030159732878662915,0.0,-0.001642831550203172,0.0
2015-06-26,0.0015832222251408457,-0.0029133311808083873,-0.012087332027390207,-0.004589788303811848,-0.0002549285205503127
2015-06-29,0.0,-0.006854593263926789,-0.013255208247029415,0.008699742751980821,-0.0053419053517539394
2015-06-30,-0.0015807195947467045,0.004752333157163502,0.0,-0.0018972801949275198,0.0017900861152710945
2015-07-01,0.0,0.00016971757804262744,0.006612734964386524,-0.0032063614564350473,0.001276587889908809
2015-07-02,-0.0005279118638736868,0.003731288423374002,0.0,0.0038255321225251215,0.0015881069625904853
2015-07-06,-0.0021117355327753273,-0.0032667631235540062,0.0,0.003984157460959592,-0.0017900622430644386
2015-07-07,0.00423292351818727,0.000791283976176782,-0.017244988620836788,0.004140314744092821,0.0007689044770706754
2015-07-08,-0.0005269919574142357,-0.004970374308460479,-0.00104349197448661,0.0013749005054184416,-0.004095914428578151
2015-07-09,-0.0005273552952455018,0.002271017712095258,0.01087382659939018,-0.006606025346079347,0.0025702331945902657
2015-07-10,0.0015823875409386456,0.005775757476508048,0.0024822851947001734,-0.006390751725571686,0.0017945675977000253
2015-07-13,0.0005260315161268458,0.0009006583546917746,-0.0014027269548599897,-0.002173091345543332,0.0030721346286892715
2015-07-14,0.001579483592750508,-0.0010122932122843542,0.005537970055223607,0.0008708153754037884,0.0015306949921198854
2015-07-15,0.001050618494020883,0.0,0.0006163823902320953,0.002611188814804599,0.0022917832262103754
2015-07-16,0.0005252260425303579,0.0015767580563073036,0.0,0.0015621724944918647,0.004322296288504557
2015-07-17,0.0031479155363349776,-0.002698381605681477,0.0,0.0006937574427208215,-0.0002537672850502215
2015-07-20,0.0005232182109109473,-0.004623062760309549,0.005955769477383965,-0.002338303484005988,0.0005068352363120088
2015-07-21,0.000786620551485262,-0.001812788694106171,-0.005512913414987941,0.0020831383864068354,-0.0005065784844859866
2015-07-22,-0.000524396727805021,-0.006468042956976339,-0.006569293964496126,0.0012994158051533589,-0.0027845295997575015
2015-07-23,0.000524671864013726,-0.0005713467021315477,0.0,0.0029420587361668193,-0.0007604656205509874
2015-07-24,0.0,-0.002857062100624086,-0.00888498233328483,-0.00043142960064668223,-0.0007630390246132768
2015-07-27,-0.001048200629852003,-0.004240381409014282,0.0,8.643303499900057e-05,-0.0010165542304899633
2015-07-28,-0.000524607864523019,0.0054097982777927545,-0.006047948964042704,-0.0007768230072178195,0.0033083704119318824
2015-07-29,0.0005248832223894162,0.005838276425280897,0.0,-0.0008635531901578508,-0.0007614632542114474
2015-07-30,0.0005243535297470014,0.002958961479295974,0.0,0.0005183963295376515,0.001269131332670037
2015-07-31,0.002098179053085847,-0.0017017302351340913,0.0,0.005183202102720497,0.002028849121422427
2015-08-03,-0.00209378591533671,-0.0018733136248658688,0.005376381336612335,0.0023276217681647005,0.0005068268072725424
2015-08-04,0.0015736766567284732,0.0005727915836686304,0.0,-0.005073452253647193,-0.0008901998837941294
2015-08-05,-0.0010473565920945394,-0.0013725125330641408,0.006267708159791052,-0.003889365620209695,0.0007633061240950312
2015-08-06,0.0,-0.004121678864231093,-0.014739671500424656,0.0019085370868630047,-0.0005080413261003836
2015-08-07,0.0,-0.003104198215793663,-0.005899709896818206,0.0034645900137426633,-0.0007633599793236412
2015-08-10,0.0005239732808348663,0.002883291246051689,0.0,-0.003970394462939897,0.003562720635081007
2015-08-11,0.0,-0.004599509195969409,0.0008484042364274025,0.004159009229623534,0.0
2015-08-12,-0.0010478209784442472,-0.0013862724891861022,0.0,-0.0015523928950684773,0.0
2015-08-13,0.0,-0.0012733171873646754,0.0,-0.0034574012166183055,-0.0007609008729515532
2015-08-14,0.000524671864013726,0.000579079698375562,0.0,0.0009542307763232838,0.00025388183927765873
2015-08-17,0.0,0.0,0.0,0.003205325619507482,0.00025365220771988994
2015-08-18,-0.000524396727805021,-0.001273106480667363,0.004023177155531021,-0.0038000042210086793,-0.0015219401826559453
2015-08-19,-0.0010484116559176249,-0.0009269960600472027,-0.009069362086262522,0.004854608897802093,-0.0022859351679642703
